7426393,78240,13548,705
494203,2651,1309,0
142819,13119,151,1141
1580028,65729,1529,3598
40592,5019,57,490
317696,9449,135,464
479291,23935,638,1941
10532409,384841,7547,23849
65453,2761,33,223
751743,42272,358,3250
1121715,65988,591,51025
199102,14916,324,1098
1024398,61352,967,4097
483360,16251,245,1588
601419,19564,658,2510
185541,12172,114,827
814262,66290,3557,5546
169898,5470,362,490
1691734,39633,1775,5191
917746,25455,731,1073
40884,1126,15,131
125196,5388,46,418
162818,9523,416,1079
1936216,74528,1059,6552
22668,62,0,27
1701667,53795,8517,36290
35536,2094,40,415
189389,15787,104,2479
369541,7658,469,1887
4659935,17509,2542,2157
153427,8915,91,1080
109101,4209,109,462
4615562,104889,2180,11355
379393,14093,323,1338
274358,9213,476,838
218536,10659,432,1424
2524251,17100,676,5311
463425,26446,8020,12806
3263,108,2,7
182142,4041,820,3267
82601,5311,67,1662
136677,490,206,1841
214126,9278,139,349
807265,26518,522,5996
141937,9886,130,1224
58169,1906,73,198
315091,19533,204,3172
503585,41072,362,3399
498126,6298,112,789
330727,18020,112,1017
324532,6060,72,252
141356,9465,55,956
162018,2566,72,0
703750,2921,2196,1042
246389,15307,247,1842
331993,14276,626,1927
265337,3986,197,252
1560006,190937,793,19925
452338,6684,298,587
121447,1302,102,512
119670,3821,73,377
12393,761,6,45
230701,11767,184,1519
1023353,22255,264,3209
228731,9743,292,1119
127097,1068,61,260
157166,19869,77,2027
1617120,83410,1014,7114
61781,2543,58,267
1152639,45401,4310,5708
273962,3105,129,594
3576396,155585,6168,6702
412117,16287,748,2254
39245,2376,103,479
27794,1690,34,174
185984,6155,129,320
688485,6543,509,350
50058,3299,14,241
76714,5830,47,337
355492,4811,363,1478
506525,13349,463,1492
496166,8235,450,1098
352276,13098,508,1297
1769256,8048,2123,3359
659654,3964,712,278
1006825,57541,570,3333
787961,17140,1054,5521
236805,4631,67,201
43179,196,14,183
94048,5982,67,699
991790,47532,626,2006
5042942,183473,16578,19443
1683617,15347,690,887
77753,805,82,636
1598,0,0,0
266862,5496,74,300
13721029,468496,6596,20989
47756,393,157,144
1307367,19733,984,3029
538100,15693,234,1962
76410,2193,17,156
166386,6301,67,502
14268,80,5,9
59288,839,102,179
1811958,133815,5380,23181
163175,3337,111,447
5951,63,8,73
387841,12097,458,1771
2384126,50006,1918,6584
699671,49246,995,4863
36297533,1431489,28044,100632
413246,17086,338,1587
2594,100,2,17
1244984,29748,2639,4112
104920,268,60,6
67151,264,18,33
406279,20499,516,6361
131005,859,867,532
25343,167,17,42
952919,17703,3207,0
288535,4772,159,397
97368,335,11,56
614608,49441,1986,3970
463276,19286,393,2304
299228,16290,155,901
241329,12247,203,1013
3970592,154729,1972,7476
61565,1039,14,471
738448,8415,199,949
1884820,55235,1132,3279
1834397,45754,1406,10764
1101502,4117,993,2358
108797,3677,107,732
626419,20553,1033,2138
3026138,76495,2880,6414
2217,14,1,7
104056,16458,32,1263
1851397,24773,2844,2242
3994782,291371,11625,24235
204310,19566,57,1727
737567,10261,802,1232
713480,24229,673,2204
2450950,176104,1017,6257
